"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","gene_chr","gene_start","gene_end","gene_strand","gene_length","gene_biotype","gene_description","tf_family"
"ENSMUSG00000036086","ENSMUSG00000036086",3337.92273003547,-5.18722638451919,0.177716525874112,-29.1882049742162,2.73746193213982e-187,5.42365866809593e-184,"Zranb3","1",127954184,128103047,"-",9079,"protein_coding","zinc finger, RAN-binding domain containing 3 [Source:MGI Symbol;Acc:MGI:1918362]","-"
"ENSMUSG00000050335","ENSMUSG00000050335",46704.4976257367,-3.56598439641615,0.122822187305597,-29.0337151181288,2.47070497061412e-185,4.48721201079701e-182,"Lgals3","14",47367751,47386160,"+",1858,"protein_coding","lectin, galactose binding, soluble 3 [Source:MGI Symbol;Acc:MGI:96778]","-"
"ENSMUSG00000030789","ENSMUSG00000030789",12015.7606166184,-5.10924574912445,0.177221894577516,-28.8296531379744,9.11778225587199e-183,1.52856112680365e-179,"Itgax","7",128129547,128150657,"+",4803,"protein_coding","integrin alpha X [Source:MGI Symbol;Acc:MGI:96609]","-"
"ENSMUSG00000032220","ENSMUSG00000032220",7222.65412248672,-3.3920517467771,0.11821891898463,-28.6929687389387,4.66934999103432e-181,7.268843836043e-178,"Myo1e","9",70207350,70399766,"+",5704,"protein_coding","myosin IE [Source:MGI Symbol;Acc:MGI:106621]","-"
"ENSMUSG00000039062","ENSMUSG00000039062",10568.1354376417,-3.07152951266621,0.107567952375081,-28.5543179436568,2.48276481236256e-179,3.60729175470865e-176,"Anpep","7",79821803,79861059,"-",4135,"protein_coding","alanyl (membrane) aminopeptidase [Source:MGI Symbol;Acc:MGI:5000466]","-"
"ENSMUSG00000063193","ENSMUSG00000063193",3750.06104119189,-3.80653925509464,0.134106869491247,-28.3843718784525,3.15317714336275e-177,4.29502141640299e-174,"Cd300lb","11",114922781,114934386,"-",2917,"protein_coding","CD300 molecule like family member B [Source:MGI Symbol;Acc:MGI:2685099]","-"
"ENSMUSG00000024781","ENSMUSG00000024781",21010.6132609359,-2.97161717811194,0.105851866262563,-28.073356503143,2.07232516836945e-173,2.65672086584963e-170,"Lipa","19",34492318,34527474,"-",2969,"protein_coding","lysosomal acid lipase A [Source:MGI Symbol;Acc:MGI:96789]","-"
"ENSMUSG00000003363","ENSMUSG00000003363",12108.549118199,-2.42353320115091,0.0863406135659048,-28.0694461280495,2.31307984988168e-173,2.8006256804623e-170,"Pld3","7",27532000,27553218,"-",2924,"protein_coding","phospholipase D family, member 3 [Source:MGI Symbol;Acc:MGI:1333782]","-"
"ENSMUSG00000026600","ENSMUSG00000026600",4925.96508812135,-3.01475543363146,0.10795696562582,-27.9255295492523,1.30713759050968e-171,1.49935561302989e-168,"Soat1","1",156424525,156474331,"-",9791,"protein_coding","sterol O-acyltransferase 1 [Source:MGI Symbol;Acc:MGI:104665]","-"
"ENSMUSG00000033777","ENSMUSG00000033777",2959.39850890201,-4.60919103993612,0.165385534965815,-27.8693722573068,6.27449401486809e-171,6.83731612800176e-168,"Tlr13","X",106143204,106160493,"+",4304,"protein_coding","toll-like receptor 13 [Source:MGI Symbol;Acc:MGI:3045213]","-"
"ENSMUSG00000024300","ENSMUSG00000024300",8417.82342903414,-3.46760727317085,0.125038032665454,-27.7324202824642,2.83948819400138e-169,2.94684789047934e-166,"Myo1f","17",33555719,33607764,"+",4914,"protein_coding","myosin IF [Source:MGI Symbol;Acc:MGI:107711]","-"
"ENSMUSG00000004933","ENSMUSG00000004933",1072.77458319097,-3.06737593637731,0.111311094032318,-27.5567854493169,3.66983119080081e-167,3.63546822601423e-164,"Matk","10",81252935,81263365,"+",4594,"protein_coding","megakaryocyte-associated tyrosine kinase [Source:MGI Symbol;Acc:MGI:99259]","-"
"ENSMUSG00000029919","ENSMUSG00000029919",4003.47070560364,-3.82243571669821,0.139382140148176,-27.4241428107977,1.4136790191315e-165,1.33955306708486e-162,"Hpgds","6",65117293,65144908,"-",6425,"protein_coding","hematopoietic prostaglandin D synthase [Source:MGI Symbol;Acc:MGI:1859384]","-"
"ENSMUSG00000061132","ENSMUSG00000061132",2552.6262037284,-3.35609489331945,0.124105519007888,-27.0422695150741,4.70899431259088e-161,4.27615925202524e-158,"Blnk","19",40928927,40994535,"-",5991,"protein_coding","B cell linker [Source:MGI Symbol;Acc:MGI:96878]","-"
"ENSMUSG00000056888","ENSMUSG00000056888",1036.11913737909,-4.72795992121499,0.175178655713744,-26.9893606726886,1.97036318411008e-160,1.71768380937981e-157,"Glipr1","10",111985448,112002631,"-",1543,"protein_coding","GLI pathogenesis-related 1 (glioma) [Source:MGI Symbol;Acc:MGI:1920940]","-"
"ENSMUSG00000022667","ENSMUSG00000022667",1558.26276541515,-3.04319330629837,0.11298960627967,-26.9333915436958,8.92889680160147e-160,7.48447603438856e-157,"Cd200r1","16",44765736,44794978,"+",3348,"protein_coding","CD200 receptor 1 [Source:MGI Symbol;Acc:MGI:1889024]","-"
"ENSMUSG00000018774","ENSMUSG00000018774",14965.4663116746,-3.51897868025127,0.131358423242345,-26.7891361162204,4.32478045164072e-158,3.49089870974288e-155,"Cd68","11",69664213,69666153,"-",1257,"protein_coding","CD68 antigen [Source:MGI Symbol;Acc:MGI:88342]","-"
"ENSMUSG00000040552","ENSMUSG00000040552",8632.66846523929,-3.63019566406152,0.135912401930608,-26.7098190635684,3.61981514168572e-157,2.81750897135352e-154,"C3ar1","6",122847138,122856161,"-",4305,"protein_coding","complement component 3a receptor 1 [Source:MGI Symbol;Acc:MGI:1097680]","-"
"ENSMUSG00000029254","ENSMUSG00000029254",1508.63613804397,-4.68829237162812,0.175596129340507,-26.6992922294821,4.79671104296087e-157,3.60481105069963e-154,"Stap1","5",86071746,86106125,"+",6215,"protein_coding","signal transducing adaptor family member 1 [Source:MGI Symbol;Acc:MGI:1926193]","-"
"ENSMUSG00000079625","ENSMUSG00000079625",1086.90889850451,-6.15902069094364,0.230715500334823,-26.6953051789127,5.33624856602644e-157,3.87660670826601e-154,"Tm4sf19","16",32400506,32408227,"+",1257,"protein_coding","transmembrane 4 L six family member 19 [Source:MGI Symbol;Acc:MGI:3645933]","-"
"ENSMUSG00000038147","ENSMUSG00000038147",6149.86933027541,-3.73392794389132,0.143266368403074,-26.0628365576076,9.62410301848648e-150,6.76605487693207e-147,"Cd84","1",171839697,171890718,"+",6272,"protein_coding","CD84 antigen [Source:MGI Symbol;Acc:MGI:1336885]","-"
"ENSMUSG00000044811","ENSMUSG00000044811",1945.57420063132,-3.86468742703809,0.148985963614093,-25.9399431549705,2.36130000114236e-148,1.60819288202802e-145,"Cd300c2","11",114996721,115001880,"-",1275,"protein_coding","CD300C molecule 2 [Source:MGI Symbol;Acc:MGI:2153249]","-"
"ENSMUSG00000024737","ENSMUSG00000024737",2973.90799450302,-4.29568881906049,0.165917644008291,-25.8904882885501,8.52283080484974e-148,5.62868407760288e-145,"Slc15a3","19",10839727,10859362,"+",5491,"protein_coding","solute carrier family 15, member 3 [Source:MGI Symbol;Acc:MGI:1929691]","-"
"ENSMUSG00000031438","ENSMUSG00000031438",2805.31738717045,-5.5375481866003,0.214373548386823,-25.8313034806336,3.94724312767947e-147,2.53018284484254e-144,"Rnf128","X",139563316,139673145,"+",3464,"protein_coding","ring finger protein 128 [Source:MGI Symbol;Acc:MGI:1914139]","-"
"ENSMUSG00000056737","ENSMUSG00000056737",11597.5048061638,-2.82016119169021,0.110242216764085,-25.5814993064343,2.45105110843587e-144,1.52623451020718e-141,"Capg","6",72544391,72562983,"+",2529,"protein_coding","capping protein (actin filament), gelsolin-like [Source:MGI Symbol;Acc:MGI:1098259]","-"
"ENSMUSG00000021998","ENSMUSG00000021998",24809.6657492284,-3.2301392470726,0.127158616259117,-25.4024409992822,2.3700201876416e-142,1.43478388804058e-139,"Lcp1","14",75131101,75230842,"+",9504,"protein_coding","lymphocyte cytosolic protein 1 [Source:MGI Symbol;Acc:MGI:104808]","-"
"ENSMUSG00000074802","ENSMUSG00000074802",1174.05766355072,-3.49576544079446,0.138026653975584,-25.326741901697,1.62152213759326e-141,9.55120363965068e-139,"Gas2l3","10",89408823,89443967,"-",7032,"protein_coding","growth arrest-specific 2 like 3 [Source:MGI Symbol;Acc:MGI:1918780]","-"
"ENSMUSG00000060131","ENSMUSG00000060131",1158.4391514007,-3.47355704576615,0.137821224865406,-25.2033534686574,3.6805545621918e-140,2.110894898116e-137,"Atp8b4","2",126320973,126500674,"-",6660,"protein_coding","ATPase, class I, type 8B, member 4 [Source:MGI Symbol;Acc:MGI:1859664]","-"
"ENSMUSG00000024696","ENSMUSG00000024696",1535.15856087189,-2.89514213822797,0.115597308285901,-25.0450653320367,1.97592764074309e-138,1.10418889749628e-135,"Lpxn","19",12798606,12833807,"+",1675,"protein_coding","leupaxin [Source:MGI Symbol;Acc:MGI:2147677]","-"
"ENSMUSG00000043157","ENSMUSG00000043157",965.609677967471,-3.35999818057507,0.134186555862085,-25.0397527456359,2.25757090319927e-138,1.23003750660812e-135,"Arl11","14",61309753,61311936,"+",2184,"protein_coding","ADP-ribosylation factor-like 11 [Source:MGI Symbol;Acc:MGI:2444054]","-"
"ENSMUSG00000066510","ENSMUSG00000066510",525.864070937459,-4.93708451369973,0.1979223318349,-24.9445551087084,2.44659025227319e-137,1.30051190141565e-134,"Ankdd1a","9",65488470,65520193,"-",2616,"protein_coding","ankyrin repeat and death domain containing 1A [Source:MGI Symbol;Acc:MGI:2686319]","-"
"ENSMUSG00000046711","ENSMUSG00000046711",3138.45604453272,-2.69206145943884,0.108585709305389,-24.7920419423482,1.09240453736462e-135,5.6685391636487e-133,"Hmga1","17",27556497,27563674,"+",2125,"protein_coding","high mobility group AT-hook 1 [Source:MGI Symbol;Acc:MGI:96160]","HMGI/HMGY"
"ENSMUSG00000097715","ENSMUSG00000097715",2908.99094105415,-2.38397374346044,0.0964899309569685,-24.7069691087624,9.00084133372095e-135,4.56196130295615e-132,"Gpr137b-ps","13",12615057,12650388,"-",4716,"transcribed_unprocessed_pseudogene","G protein-coupled receptor 137B, pseudogene [Source:MGI Symbol;Acc:MGI:3710533]","-"
"ENSMUSG00000029189","ENSMUSG00000029189",478.445348528476,-4.67456301897213,0.189793054764852,-24.6297896662435,6.06020248426725e-134,3.00172847595728e-131,"Sel1l3","5",53107083,53213927,"-",9850,"protein_coding","sel-1 suppressor of lin-12-like 3 (C. elegans) [Source:MGI Symbol;Acc:MGI:1916941]","-"
"ENSMUSG00000026437","ENSMUSG00000026437",2180.50435609342,-3.98998630796137,0.162334201952089,-24.5788395789752,2.12721601744957e-133,1.03023435298435e-130,"Cdk18","1",132112237,132139684,"-",4764,"protein_coding","cyclin-dependent kinase 18 [Source:MGI Symbol;Acc:MGI:97518]","-"
"ENSMUSG00000103847","ENSMUSG00000103847",916.930351287437,-4.78041092272526,0.194590135789568,-24.5665634762434,2.87763576144702e-133,1.36337377793427e-130,"Gm20056","16",32408536,32409054,"+",519,"processed_pseudogene","predicted gene, 20056 [Source:MGI Symbol;Acc:MGI:5012241]","-"
"ENSMUSG00000034652","ENSMUSG00000034652",4266.78503483485,-3.94945039343149,0.161193586441942,-24.5012874308991,1.43120029002557e-132,6.63650619591857e-130,"Cd300a","11",114890041,114904654,"+",4738,"protein_coding","CD300A molecule [Source:MGI Symbol;Acc:MGI:2443411]","-"
"ENSMUSG00000006219","ENSMUSG00000006219",2758.53831003996,-2.6561540327563,0.109025499130543,-24.3626862884244,4.25410226939297e-131,1.93153968456563e-128,"Fblim1","4",141576062,141606096,"-",4457,"protein_coding","filamin binding LIM protein 1 [Source:MGI Symbol;Acc:MGI:1921452]","-"
"ENSMUSG00000021190","ENSMUSG00000021190",19378.7256200349,-2.52508576450376,0.103984616852724,-24.2832626683628,2.94577452304658e-130,1.31020836643423e-127,"Lgmn","12",102394084,102439813,"-",2323,"protein_coding","legumain [Source:MGI Symbol;Acc:MGI:1330838]","-"
"ENSMUSG00000028238","ENSMUSG00000028238",7912.94690666323,-6.13120838991403,0.252972043057684,-24.2367034546816,9.13223283346906e-130,3.98055764745249e-127,"Atp6v0d2","4",19876841,19922605,"-",2716,"protein_coding","ATPase, H+ transporting, lysosomal V0 subunit D2 [Source:MGI Symbol;Acc:MGI:1924415]","-"
"ENSMUSG00000031266","ENSMUSG00000031266",1694.25206460051,-2.38168498770897,0.0996873866334092,-23.8915380184194,3.75041792667321e-126,1.60267859399835e-123,"Gla","X",134588149,134601125,"-",3265,"protein_coding","galactosidase, alpha [Source:MGI Symbol;Acc:MGI:1347344]","-"
"ENSMUSG00000034641","ENSMUSG00000034641",3458.956391919,-3.10425374709134,0.130484677262933,-23.7901783734815,4.22077936996006e-125,1.76899356901749e-122,"Cd300ld","11",114982274,114989922,"-",2645,"protein_coding","CD300 molecule like family member d [Source:MGI Symbol;Acc:MGI:2442358]","-"
"ENSMUSG00000054342","ENSMUSG00000054342",2106.00974774366,-3.56465458464511,0.15082099748078,-23.6350020500254,1.6837158676728e-123,6.92356672076624e-121,"Kcnn4","7",24370263,24386690,"+",5115,"protein_coding","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4 [Source:MGI Symbol;Acc:MGI:1277957]","-"
"ENSMUSG00000044162","ENSMUSG00000044162",778.164333978272,-4.06017879758945,0.172201341223178,-23.5780904419747,6.46816175444454e-123,2.61050217178452e-120,"Tnip3","6",65525313,65634040,"+",10916,"protein_coding","TNFAIP3 interacting protein 3 [Source:MGI Symbol;Acc:MGI:3041165]","-"
"ENSMUSG00000037280","ENSMUSG00000037280",1150.49040664582,-3.54633737264289,0.15059816469477,-23.5483438980186,1.30537328193941e-122,5.17260096483408e-120,"Galnt6","15",100691813,100729376,"-",3871,"protein_coding","polypeptide N-acetylgalactosaminyltransferase 6 [Source:MGI Symbol;Acc:MGI:1891640]","-"
"ENSMUSG00000033059","ENSMUSG00000033059",11472.2391170165,1.82079777350834,0.0778845371680793,23.3781677302511,7.12790742294277e-121,2.77402882813598e-118,"Pygb","2",150786735,150831758,"+",4809,"protein_coding","brain glycogen phosphorylase [Source:MGI Symbol;Acc:MGI:97828]","-"
"ENSMUSG00000053040","ENSMUSG00000053040",1055.82507059091,-2.62544921199821,0.112496438445589,-23.3380651714415,1.82187004234605e-120,6.96593608822629e-118,"Aph1c","9",66814994,66834726,"-",5205,"protein_coding","aph1 homolog C, gamma secretase subunit [Source:MGI Symbol;Acc:MGI:1915568]","-"
"ENSMUSG00000032076","ENSMUSG00000032076",2854.94128983649,-3.91363995152356,0.16789824720352,-23.309593856448,3.54358815083336e-120,1.33153379584935e-117,"Cadm1","9",47530173,47857637,"+",10440,"protein_coding","cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:1889272]","-"
"ENSMUSG00000036046","ENSMUSG00000036046",9031.02203210705,-1.69699075394237,0.0730088941905344,-23.2436167231031,1.6505400382996e-119,6.0969270499494e-117,"5031439G07Rik","15",84943936,84988551,"-",9604,"protein_coding","RIKEN cDNA 5031439G07 gene [Source:MGI Symbol;Acc:MGI:2444899]","-"
"ENSMUSG00000027506","ENSMUSG00000027506",5113.12041962236,-2.4806417129101,0.106987278588653,-23.1863240717406,6.25642277800657e-119,2.27254130039792e-116,"Tpd52","3",8925593,9004723,"-",7487,"protein_coding","tumor protein D52 [Source:MGI Symbol;Acc:MGI:107749]","-"
"ENSMUSG00000040855","ENSMUSG00000040855",1623.65894257138,-1.90635670574025,0.0822939376597,-23.1652143517956,1.02139054445199e-118,3.64921074193226e-116,"Reps2","X",162411954,162643649,"-",8296,"protein_coding","RALBP1 associated Eps domain containing protein 2 [Source:MGI Symbol;Acc:MGI:2663511]","-"
"ENSMUSG00000021306","ENSMUSG00000021306",3950.02149270913,-2.50425886063541,0.108507333121442,-23.0791669889503,7.49679906850784e-118,2.63524578869451e-115,"Gpr137b","13",13357620,13394014,"-",5026,"protein_coding","G protein-coupled receptor 137B [Source:MGI Symbol;Acc:MGI:1891463]","-"
"ENSMUSG00000074505","ENSMUSG00000074505",606.835937637983,-5.9063679540399,0.255976460675288,-23.073871474191,8.47318786549305e-118,2.93118502127866e-115,"Fat3","9",15910189,16501285,"-",21478,"protein_coding","FAT atypical cadherin 3 [Source:MGI Symbol;Acc:MGI:2444314]","-"
"ENSMUSG00000027955","ENSMUSG00000027955",6138.93090155733,-1.58392184379738,0.0689875190359087,-22.9595420437273,1.18314040903628e-116,4.02896282414634e-114,"Fam198b","3",79884533,79946280,"+",9598,"protein_coding","family with sequence similarity 198, member B [Source:MGI Symbol;Acc:MGI:1915909]","-"
"ENSMUSG00000019942","ENSMUSG00000019942",525.86108220817,-3.57796436704608,0.155844732614743,-22.9585197203361,1.21129275519992e-116,4.06137143181956e-114,"Cdk1","10",69335146,69352938,"-",4934,"protein_coding","cyclin-dependent kinase 1 [Source:MGI Symbol;Acc:MGI:88351]","-"
"ENSMUSG00000022488","ENSMUSG00000022488",10475.334698688,-3.05477944019309,0.133348860906705,-22.9081779883392,3.85117981819741e-116,1.27170625693628e-113,"Nckap1l","15",103453794,103498810,"+",5935,"protein_coding","NCK associated protein 1 like [Source:MGI Symbol;Acc:MGI:1926063]","-"
"ENSMUSG00000021262","ENSMUSG00000021262",4198.19129568261,-3.41092505239928,0.149525516949486,-22.8116586518915,3.51283993916405e-115,1.14266915871853e-112,"Evl","12",108554720,108688516,"+",2940,"protein_coding","Ena-vasodilator stimulated phosphoprotein [Source:MGI Symbol;Acc:MGI:1194884]","-"
"ENSMUSG00000027068","ENSMUSG00000027068",1455.75247225662,-4.49294781825528,0.197093421382957,-22.7960313780609,5.02019822906022e-115,1.6089735324138e-112,"Dhrs9","2",69380445,69404533,"+",4281,"protein_coding","dehydrogenase/reductase (SDR family) member 9 [Source:MGI Symbol;Acc:MGI:2442798]","-"
"ENSMUSG00000003526","ENSMUSG00000003526",1558.85667976842,2.73638608533541,0.121993514333507,22.4305865790098,1.98009249464466e-111,6.25422258380954e-109,"Prodh","16",18060357,18090203,"-",7797,"protein_coding","proline dehydrogenase [Source:MGI Symbol;Acc:MGI:97770]","-"
"ENSMUSG00000035891","ENSMUSG00000035891",5418.3991046963,-2.00386500681389,0.0895365678336697,-22.3804089803446,6.10817673221081e-111,1.90173719574003e-108,"Cerk","15",86139128,86186141,"-",4812,"protein_coding","ceramide kinase [Source:MGI Symbol;Acc:MGI:2386052]","-"
"ENSMUSG00000022408","ENSMUSG00000022408",388.878223530771,-3.17848451002082,0.142479763909694,-22.3083224087555,3.06787554071072e-110,9.41708162454217e-108,"Fam83f","15",80671847,80700425,"+",2993,"protein_coding","family with sequence similarity 83, member F [Source:MGI Symbol;Acc:MGI:2146227]","-"
"ENSMUSG00000029816","ENSMUSG00000029816",64345.1428382418,-5.39770525655106,0.243477078839131,-22.1692542159889,6.80281646763069e-109,2.05917475132699e-106,"Gpnmb","6",49036546,49070929,"+",6514,"protein_coding","glycoprotein (transmembrane) nmb [Source:MGI Symbol;Acc:MGI:1934765]","-"
"ENSMUSG00000030329","ENSMUSG00000030329",1978.94709181955,-4.12030559577608,0.186422355831913,-22.1019929578142,3.02420375336493e-108,9.02869816449798e-106,"Pianp","6",124996694,125003096,"+",2851,"protein_coding","PILR alpha associated neural protein [Source:MGI Symbol;Acc:MGI:2441908]","-"
"ENSMUSG00000040613","ENSMUSG00000040613",7048.08636096573,-2.60994439809791,0.118142950611161,-22.0914103177252,3.82273546790336e-108,1.12584725388494e-105,"Apobec1","6",122577792,122602444,"-",2702,"protein_coding","apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1 [Source:MGI Symbol;Acc:MGI:103298]","-"
"ENSMUSG00000052688","ENSMUSG00000052688",5123.64367987768,-2.79883184801549,0.126876410859365,-22.0595131045899,7.74115585735784e-108,2.24947667673676e-105,"Rab7b","1",131688695,131715439,"+",4624,"protein_coding","RAB7B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:2442295]","-"
"ENSMUSG00000025969","ENSMUSG00000025969",6400.18252958262,-1.3584094922231,0.0616810877029886,-22.0231118290944,1.72969065271351e-107,4.96011553753136e-105,"Nrp2","1",62703285,62818695,"+",11842,"protein_coding","neuropilin 2 [Source:MGI Symbol;Acc:MGI:1100492]","-"
"ENSMUSG00000002111","ENSMUSG00000002111",4327.00802642309,-2.66463687599852,0.121628557387354,-21.9079871802835,2.1800619905693e-106,6.17042480811263e-104,"Spi1","2",91082390,91115756,"+",2695,"protein_coding","spleen focus forming virus (SFFV) proviral integration oncogene [Source:MGI Symbol;Acc:MGI:98282]","ETS"
"ENSMUSG00000028832","ENSMUSG00000028832",1555.91047954484,-2.75660057860453,0.125984679929748,-21.8804427660703,3.98951437020508e-106,1.11471123313141e-103,"Stmn1","4",134468320,134473843,"+",1922,"protein_coding","stathmin 1 [Source:MGI Symbol;Acc:MGI:96739]","-"
"ENSMUSG00000039474","ENSMUSG00000039474",4299.83195926665,-1.88509705065562,0.0867398468625555,-21.7327689503841,1.00552303045495e-104,2.77397075009305e-102,"Wfs1","5",36966104,36989205,"-",3787,"protein_coding","wolframin ER transmembrane glycoprotein [Source:MGI Symbol;Acc:MGI:1328355]","-"
"ENSMUSG00000049643","ENSMUSG00000049643",1465.69452267603,-1.66818507760992,0.0768601932157288,-21.7041488944441,1.87461553505494e-104,5.10692137137342e-102,"2310022A10Rik","7",27553233,27582099,"+",4780,"protein_coding","RIKEN cDNA 2310022A10 gene [Source:MGI Symbol;Acc:MGI:1913617]","-"
"ENSMUSG00000061175","ENSMUSG00000061175",3011.25293283798,-1.93726707298737,0.0895410263982288,-21.6355245289627,8.31978036538394e-104,2.2385344849775e-101,"Fnip2","3",79455974,79567796,"-",8364,"protein_coding","folliculin interacting protein 2 [Source:MGI Symbol;Acc:MGI:2683054]","-"
"ENSMUSG00000025017","ENSMUSG00000025017",3338.79002056792,-3.31151539930447,0.153359485753369,-21.5931566478386,2.08289019866729e-103,5.53591573045792e-101,"Pik3ap1","19",41274218,41385070,"-",2615,"protein_coding","phosphoinositide-3-kinase adaptor protein 1 [Source:MGI Symbol;Acc:MGI:1933177]","-"
"ENSMUSG00000025877","ENSMUSG00000025877",3810.7696697749,-3.39394328181868,0.159348375625137,-21.2988884794336,1.16246816094352e-100,3.05238928910881e-98,"Hk3","13",55005985,55021385,"-",3682,"protein_coding","hexokinase 3 [Source:MGI Symbol;Acc:MGI:2670962]","-"
"ENSMUSG00000035004","ENSMUSG00000035004",1766.15818262077,-2.71349152352264,0.127430682664593,-21.293863195136,1.29408095049359e-100,3.35752383750683e-98,"Igsf6","7",121064067,121074572,"-",2175,"protein_coding","immunoglobulin superfamily, member 6 [Source:MGI Symbol;Acc:MGI:1891393]","-"
"ENSMUSG00000030579","ENSMUSG00000030579",9073.28241673539,-2.96020153104603,0.139134704595424,-21.2757955655543,1.90258275710712e-100,4.87822218922265e-98,"Tyrobp","7",30413760,30417585,"+",667,"protein_coding","TYRO protein tyrosine kinase binding protein [Source:MGI Symbol;Acc:MGI:1277211]","-"
"ENSMUSG00000048779","ENSMUSG00000048779",2357.70933737597,-2.51293880514717,0.118372075193077,-21.2291522392279,5.13810069901344e-100,1.30209030970115e-97,"P2ry6","7",100937630,100974649,"-",2887,"protein_coding","pyrimidinergic receptor P2Y, G-protein coupled, 6 [Source:MGI Symbol;Acc:MGI:2673874]","-"
"ENSMUSG00000061780","ENSMUSG00000061780",94785.8757194094,5.12055551695172,0.241355930740234,21.215784924974,6.82776921042005e-100,1.71039542726316e-97,"Cfd","10",79890853,79892655,"+",922,"protein_coding","complement factor D (adipsin) [Source:MGI Symbol;Acc:MGI:87931]","-"
"ENSMUSG00000011148","ENSMUSG00000011148",1693.39822687618,-2.92243303632646,0.137771535758941,-21.2121685384987,7.37344966342607e-100,1.82610184050804e-97,"Adssl1","12",112620045,112641360,"+",2090,"protein_coding","adenylosuccinate synthetase like 1 [Source:MGI Symbol;Acc:MGI:87947]","-"
"ENSMUSG00000012443","ENSMUSG00000012443",545.267591325992,-3.10867312688731,0.146946129616996,-21.1551888776508,2.4719747767662e-99,6.05328295335309e-97,"Kif11","19",37376403,37421859,"+",4819,"protein_coding","kinesin family member 11 [Source:MGI Symbol;Acc:MGI:1098231]","-"
"ENSMUSG00000022303","ENSMUSG00000022303",400.527926939852,-4.38680060280905,0.207487080849964,-21.142524078312,3.23315859337931e-99,7.82927315378984e-97,"Dcstamp","15",39745930,39760938,"+",2664,"protein_coding","dendrocyte expressed seven transmembrane protein [Source:MGI Symbol;Acc:MGI:1923016]","-"
